instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,spring,2011,1,no,Saturday,no,Mist,14.110847,18.18125,0.805833,0.160446,331,654,985
2,2011-01-02,spring,2011,1,no,Sunday,no,Mist,14.902598000000001,17.686950000000003,0.696087,0.248539,131,670,801
3,2011-01-03,spring,2011,1,no,Monday,yes,Clear,8.050924,9.47025,0.437273,0.248309,120,1229,1349
4,2011-01-04,spring,2011,1,no,Tuesday,yes,Clear,8.200000000000001,10.6061,0.590435,0.160296,108,1454,1562
5,2011-01-05,spring,2011,1,no,Wednesday,yes,Clear,9.305237,11.4635,0.436957,0.1869,82,1518,1600
6,2011-01-06,spring,2011,1,no,Thursday,yes,Clear,8.378268,11.66045,0.518261,0.0895652,88,1518,1606
7,2011-01-07,spring,2011,1,no,Friday,yes,Mist,8.057402,10.44195,0.498696,0.168726,148,1362,1510
8,2011-01-08,spring,2011,1,no,Saturday,no,Mist,6.765000000000001,8.1127,0.535833,0.266804,68,891,959
9,2011-01-09,spring,2011,1,no,Sunday,no,Clear,5.671653,5.80875,0.434167,0.36195,54,768,822
10,2011-01-10,spring,2011,1,no,Monday,yes,Clear,6.184153,7.5443999999999996,0.482917,0.223267,41,1280,1321
11,2011-01-11,spring,2011,1,no,Tuesday,yes,Mist,6.9327309999999995,9.5732,0.686364,0.122132,43,1220,1263
12,2011-01-12,spring,2011,1,no,Wednesday,yes,Clear,7.0818069999999995,8.02365,0.599545,0.304627,25,1137,1162
13,2011-01-13,spring,2011,1,no,Thursday,yes,Clear,6.765000000000001,7.544149999999999,0.470417,0.301,38,1368,1406
14,2011-01-14,spring,2011,1,no,Friday,yes,Clear,6.59567,9.42065,0.537826,0.126548,54,1367,1421
15,2011-01-15,spring,2011,1,no,Saturday,no,Mist,9.566653,12.4056,0.49875,0.157963,222,1026,1248
16,2011-01-16,spring,2011,1,no,Sunday,no,Clear,9.498347,11.71085,0.48375,0.188433,251,953,1204
17,2011-01-17,spring,2011,1,yes,Monday,no,Mist,7.209153,8.838550000000001,0.5375,0.194017,117,883,1000
18,2011-01-18,spring,2011,1,no,Tuesday,yes,Mist,8.883347,11.61665,0.861667,0.146775,9,674,683
19,2011-01-19,spring,2011,1,no,Wednesday,yes,Mist,11.979134,14.921100000000001,0.741739,0.208317,78,1572,1650
20,2011-01-20,spring,2011,1,no,Thursday,yes,Mist,10.728347,12.7525,0.538333,0.195904,83,1844,1927
21,2011-01-21,spring,2011,1,no,Friday,yes,Clear,7.2775,7.89165,0.457083,0.353242,75,1468,1543
22,2011-01-22,spring,2011,1,no,Saturday,no,Clear,2.4243464,3.9534800000000003,0.4,0.17197,93,888,981
23,2011-01-23,spring,2011,1,no,Sunday,no,Clear,3.9573897000000002,4.941955,0.436522,0.2466,150,836,986
24,2011-01-24,spring,2011,1,no,Monday,yes,Clear,3.9930433,5.8965,0.491739,0.15833,86,1330,1416
25,2011-01-25,spring,2011,1,no,Tuesday,yes,Mist,9.162598000000001,11.7263,0.616957,0.129796,186,1799,1985
26,2011-01-26,spring,2011,1,no,Wednesday,yes,Light Snow/Rain,8.9175,10.18,0.8625,0.29385,34,472,506
27,2011-01-27,spring,2011,1,no,Thursday,yes,Clear,7.995,10.985,0.6875,0.113837,15,416,431
28,2011-01-28,spring,2011,1,no,Friday,yes,Mist,8.342597999999999,11.165849999999999,0.793043,0.1233,38,1129,1167
29,2011-01-29,spring,2011,1,no,Saturday,no,Clear,8.057402,10.606300000000001,0.651739,0.145365,123,975,1098
30,2011-01-30,spring,2011,1,no,Sunday,no,Clear,8.877402,12.5161,0.722174,0.0739826,140,956,1096
31,2011-01-31,spring,2011,1,no,Monday,yes,Mist,7.414153,9.3125,0.60375,0.187192,42,1459,1501
32,2011-02-01,spring,2011,2,no,Tuesday,yes,Mist,7.8791340000000005,11.7265,0.829565,0.053213,47,1313,1360
33,2011-02-02,spring,2011,2,no,Wednesday,yes,Mist,10.66,12.72085,0.775417,0.264308,72,1454,1526
34,2011-02-03,spring,2011,2,no,Thursday,yes,Clear,7.665237,8.8939,0.437826,0.277752,61,1489,1550
35,2011-02-04,spring,2011,2,no,Friday,yes,Mist,8.663464,11.429350000000001,0.585217,0.127839,88,1620,1708
36,2011-02-05,spring,2011,2,no,Saturday,no,Mist,9.566653,12.152899999999999,0.929167,0.161079,100,905,1005
37,2011-02-06,spring,2011,2,no,Sunday,no,Clear,11.719153,14.58355,0.568333,0.1418,354,1269,1623
38,2011-02-07,spring,2011,2,no,Monday,yes,Clear,11.138347,15.1829,0.738333,0.0454083,120,1592,1712
39,2011-02-08,spring,2011,2,no,Tuesday,yes,Clear,9.054153,9.9123,0.537917,0.36195,64,1466,1530
40,2011-02-09,spring,2011,2,no,Wednesday,yes,Mist,5.526102999999999,7.21415,0.494783,0.188839,53,1552,1605
41,2011-02-10,spring,2011,2,no,Thursday,yes,Clear,5.918268,7.477399999999999,0.437391,0.221935,47,1491,1538
42,2011-02-11,spring,2011,2,no,Friday,yes,Clear,7.752731000000001,10.67545,0.506364,0.10855,149,1597,1746
43,2011-02-12,spring,2011,2,no,Saturday,no,Clear,9.1225,11.6477,0.544167,0.203367,288,1184,1472
44,2011-02-13,spring,2011,2,no,Sunday,no,Clear,12.977402000000001,16.20565,0.457391,0.260883,397,1192,1589
45,2011-02-14,spring,2011,2,no,Monday,yes,Clear,17.015,19.9175,0.375833,0.417908,208,1705,1913
46,2011-02-15,spring,2011,2,no,Tuesday,yes,Clear,10.909567000000001,12.7137,0.314348,0.291374,140,1675,1815
47,2011-02-16,spring,2011,2,no,Wednesday,yes,Clear,13.048701000000001,15.809999999999999,0.423478,0.251791,218,1897,2115
48,2011-02-17,spring,2011,2,no,Thursday,yes,Clear,17.869153,21.4329,0.505,0.230104,259,2216,2475
49,2011-02-18,spring,2011,2,no,Friday,yes,Clear,21.388347,25.599149999999998,0.516667,0.264925,579,2348,2927
50,2011-02-19,spring,2011,2,no,Saturday,no,Clear,16.365847,19.5702,0.187917,0.507463,532,1103,1635
51,2011-02-20,spring,2011,2,no,Sunday,no,Clear,11.693897,13.8665,0.407826,0.223235,639,1173,1812
52,2011-02-21,spring,2011,2,yes,Monday,no,Mist,12.436653000000002,14.203750000000001,0.605,0.307846,195,912,1107
53,2011-02-22,spring,2011,2,no,Tuesday,yes,Clear,7.471102,9.30165,0.577778,0.195683,74,1376,1450
54,2011-02-23,spring,2011,2,no,Wednesday,yes,Clear,9.091299,12.28585,0.423043,0.094113,139,1778,1917
55,2011-02-24,spring,2011,2,no,Thursday,yes,Mist,12.121732000000002,14.459549999999998,0.697391,0.250496,100,1707,1807
56,2011-02-25,spring,2011,2,no,Friday,yes,Mist,14.938268,17.52305,0.712174,0.346539,120,1341,1461
57,2011-02-26,spring,2011,2,no,Saturday,no,Clear,11.5825,14.1096,0.537917,0.186571,424,1545,1969
58,2011-02-27,spring,2011,2,no,Sunday,no,Clear,14.082598,17.55545,0.68,0.125248,694,1708,2402
59,2011-02-28,spring,2011,2,no,Monday,yes,Mist,16.698193,20.005899999999997,0.876364,0.289686,81,1365,1446
60,2011-03-01,spring,2011,3,no,Tuesday,yes,Clear,10.933347,13.19395,0.535,0.216425,137,1714,1851
61,2011-03-02,spring,2011,3,no,Wednesday,yes,Clear,13.735000000000001,16.00355,0.449583,0.307833,231,1903,2134
62,2011-03-03,spring,2011,3,no,Thursday,yes,Clear,8.131653,10.00665,0.318333,0.225754,123,1562,1685
63,2011-03-04,spring,2011,3,no,Friday,yes,Mist,10.728347,12.783949999999999,0.610417,0.203346,214,1730,1944
64,2011-03-05,spring,2011,3,no,Saturday,no,Mist,15.750846999999998,18.93895,0.789167,0.251871,640,1437,2077
65,2011-03-06,spring,2011,3,no,Sunday,no,Mist,15.437402,18.3126,0.948261,0.343287,114,491,605
66,2011-03-07,spring,2011,3,no,Monday,yes,Clear,10.731299,11.92305,0.551304,0.341352,244,1628,1872
67,2011-03-08,spring,2011,3,no,Tuesday,yes,Clear,11.9925,15.120000000000001,0.420833,0.12065,316,1817,2133
68,2011-03-09,spring,2011,3,no,Wednesday,yes,Mist,12.129153,14.3304,0.775417,0.22015,191,1700,1891
69,2011-03-10,spring,2011,3,no,Thursday,yes,Light Snow/Rain,15.952731,19.2834,0.0,0.261877,46,577,623
70,2011-03-11,spring,2011,3,no,Friday,yes,Mist,12.977402000000001,15.25,0.649565,0.23297,247,1730,1977
71,2011-03-12,spring,2011,3,no,Saturday,no,Clear,13.495847,16.287499999999998,0.594583,0.220775,724,1408,2132
72,2011-03-13,spring,2011,3,no,Sunday,no,Clear,15.758268000000001,19.004550000000002,0.527391,0.270604,982,1435,2417
73,2011-03-14,spring,2011,3,no,Monday,yes,Clear,13.333896999999999,16.6,0.496957,0.136926,359,1687,2046
74,2011-03-15,spring,2011,3,no,Tuesday,yes,Mist,13.013031,15.908900000000001,0.655652,0.184309,289,1767,2056
75,2011-03-16,spring,2011,3,no,Wednesday,yes,Mist,14.973897000000001,18.3465,0.776522,0.203117,321,1871,2192
76,2011-03-17,spring,2011,3,no,Thursday,yes,Clear,17.015,20.51665,0.602917,0.209579,424,2320,2744
77,2011-03-18,spring,2011,3,no,Friday,yes,Clear,22.14,26.35045,0.525217,0.231017,884,2355,3239
78,2011-03-19,spring,2011,3,no,Saturday,no,Clear,19.3725,23.32625,0.379167,0.368167,1424,1693,3117
79,2011-03-20,spring,2011,3,no,Sunday,no,Clear,13.6325,16.287499999999998,0.47375,0.207721,1047,1424,2471
80,2011-03-21,summer,2011,3,no,Monday,yes,Mist,17.647835,20.48675,0.737391,0.288783,401,1676,2077
81,2011-03-22,summer,2011,3,no,Tuesday,yes,Clear,18.108347,22.0321,0.624583,0.22575,460,2243,2703
82,2011-03-23,summer,2011,3,no,Wednesday,yes,Mist,14.225237,16.89695,0.839565,0.234261,203,1918,2121
83,2011-03-24,summer,2011,3,no,Thursday,yes,Mist,11.684999999999999,13.541649999999999,0.805833,0.243787,166,1699,1865
84,2011-03-25,summer,2011,3,no,Friday,yes,Clear,10.830846999999999,12.8156,0.495,0.230725,300,1910,2210
85,2011-03-26,summer,2011,3,no,Saturday,no,Clear,10.899153,12.87855,0.394167,0.209571,981,1515,2496
86,2011-03-27,summer,2011,3,no,Sunday,no,Mist,10.374763000000002,12.51695,0.493913,0.1843,472,1221,1693
87,2011-03-28,summer,2011,3,no,Monday,yes,Clear,10.838268000000001,12.878700000000002,0.302174,0.212204,222,1806,2028
88,2011-03-29,summer,2011,3,no,Tuesday,yes,Clear,12.4025,14.6454,0.314167,0.226996,317,2108,2425
89,2011-03-30,summer,2011,3,no,Wednesday,yes,Mist,12.299999999999999,14.8675,0.646667,0.172888,168,1368,1536
90,2011-03-31,summer,2011,3,no,Thursday,yes,Light Snow/Rain,11.001653,12.87875,0.918333,0.217646,179,1506,1685
91,2011-04-01,summer,2011,4,no,Friday,yes,Mist,12.299999999999999,14.172699999999999,0.68625,0.258708,307,1920,2227
92,2011-04-02,summer,2011,4,no,Saturday,no,Mist,12.915000000000001,15.78185,0.65375,0.197146,898,1354,2252
93,2011-04-03,summer,2011,4,no,Sunday,no,Clear,15.511652999999999,18.93835,0.48,0.182213,1651,1598,3249
94,2011-04-04,summer,2011,4,no,Monday,yes,Clear,23.506653,27.14645,0.42625,0.385571,734,2381,3115
95,2011-04-05,summer,2011,4,no,Tuesday,yes,Mist,16.980847,19.9175,0.642083,0.388067,167,1628,1795
96,2011-04-06,summer,2011,4,no,Wednesday,yes,Clear,16.024153,19.3804,0.470833,0.263063,413,2395,2808
97,2011-04-07,summer,2011,4,no,Thursday,yes,Clear,17.9375,21.684800000000003,0.602917,0.162312,571,2570,3141
98,2011-04-08,summer,2011,4,no,Friday,yes,Mist,13.769153,16.223950000000002,0.83625,0.226992,172,1299,1471
99,2011-04-09,summer,2011,4,no,Saturday,no,Mist,14.0425,17.07645,0.8775,0.133083,879,1576,2455
100,2011-04-10,summer,2011,4,no,Sunday,no,Mist,17.493347,21.33685,0.8575,0.146767,1188,1707,2895
101,2011-04-11,summer,2011,4,no,Monday,yes,Mist,24.421732,28.260849999999998,0.716956,0.324474,855,2493,3348
102,2011-04-12,summer,2011,4,no,Tuesday,yes,Mist,20.6025,24.6527,0.739167,0.274879,257,1777,2034
103,2011-04-13,summer,2011,4,no,Wednesday,yes,Mist,16.912499999999998,20.864150000000002,0.819167,0.250617,209,1953,2162
104,2011-04-14,summer,2011,4,no,Thursday,yes,Clear,19.1675,23.1371,0.540417,0.1107,529,2738,3267
105,2011-04-15,summer,2011,4,yes,Friday,no,Clear,18.313347,22.09565,0.67125,0.226375,642,2484,3126
106,2011-04-16,summer,2011,4,no,Saturday,no,Light Snow/Rain,17.664153000000002,21.2746,0.888333,0.340808,121,674,795
107,2011-04-17,summer,2011,4,no,Sunday,no,Clear,18.723347,22.2848,0.479583,0.303496,1558,2186,3744
108,2011-04-18,summer,2011,4,no,Monday,yes,Clear,21.0125,25.1573,0.5425,0.163567,669,2760,3429
109,2011-04-19,summer,2011,4,no,Tuesday,yes,Mist,20.739152999999998,24.4629,0.665833,0.157971,409,2795,3204
110,2011-04-20,summer,2011,4,no,Wednesday,yes,Clear,24.395,28.2196,0.614167,0.241925,613,3331,3944
111,2011-04-21,summer,2011,4,no,Thursday,yes,Clear,18.825847,22.6946,0.407083,0.325258,745,3444,4189
112,2011-04-22,summer,2011,4,no,Friday,yes,Mist,13.803347,16.0977,0.729583,0.219521,177,1506,1683
113,2011-04-23,summer,2011,4,no,Saturday,no,Mist,18.86,22.50605,0.887917,0.230725,1462,2574,4036
114,2011-04-24,summer,2011,4,no,Sunday,no,Mist,23.848347,27.58815,0.810833,0.192175,1710,2481,4191
115,2011-04-25,summer,2011,4,no,Monday,yes,Clear,24.873347,28.725,0.776667,0.185333,773,3300,4073
116,2011-04-26,summer,2011,4,no,Tuesday,yes,Clear,25.898346999999998,29.704150000000002,0.729167,0.3265,678,3722,4400
117,2011-04-27,summer,2011,4,no,Wednesday,yes,Mist,25.419999999999998,28.7571,0.835417,0.3122,547,3325,3872
118,2011-04-28,summer,2011,4,no,Thursday,yes,Mist,25.317500000000003,28.946450000000002,0.700833,0.320908,569,3489,4058
119,2011-04-29,summer,2011,4,no,Friday,yes,Clear,20.91,24.87315,0.457083,0.240063,878,3717,4595
120,2011-04-30,summer,2011,4,no,Saturday,no,Clear,19.3725,23.201050000000002,0.503333,0.235075,1965,3347,5312
121,2011-05-01,summer,2011,5,no,Sunday,no,Mist,18.518347,22.4102,0.762083,0.106354,1138,2213,3351
122,2011-05-02,summer,2011,5,no,Monday,yes,Mist,22.515846999999997,26.64165,0.73,0.183454,847,3554,4401
123,2011-05-03,summer,2011,5,no,Tuesday,yes,Mist,25.283347,29.10395,0.697083,0.342667,603,3848,4451
124,2011-05-04,summer,2011,5,no,Wednesday,yes,Mist,16.980847,20.2325,0.737083,0.328996,255,2378,2633
125,2011-05-05,summer,2011,5,no,Thursday,yes,Clear,18.825847,22.09585,0.444167,0.295392,614,3819,4433
126,2011-05-06,summer,2011,5,no,Friday,yes,Clear,19.645847,23.70585,0.59,0.228246,894,3714,4608
127,2011-05-07,summer,2011,5,no,Saturday,no,Clear,21.32,25.63105,0.54125,0.16045,1612,3102,4714
128,2011-05-08,summer,2011,5,no,Sunday,no,Clear,21.661653,25.946649999999998,0.631667,0.0746375,1401,2932,4333
129,2011-05-09,summer,2011,5,no,Monday,yes,Clear,21.8325,26.2623,0.58875,0.176,664,3698,4362
130,2011-05-10,summer,2011,5,no,Tuesday,yes,Clear,21.8325,26.13605,0.489167,0.115671,694,4109,4803
131,2011-05-11,summer,2011,5,no,Wednesday,yes,Clear,22.2425,26.419999999999998,0.632917,0.120642,550,3632,4182
132,2011-05-12,summer,2011,5,no,Thursday,yes,Clear,21.935000000000002,26.16815,0.7475,0.189667,695,4169,4864
133,2011-05-13,summer,2011,5,no,Friday,yes,Mist,21.0125,24.715,0.863333,0.179725,692,3413,4105
134,2011-05-14,summer,2011,5,no,Saturday,no,Mist,21.354153,25.03145,0.9225,0.13495,902,2507,3409
135,2011-05-15,summer,2011,5,no,Sunday,no,Mist,23.0625,26.8,0.867083,0.152979,1582,2971,4553
136,2011-05-16,summer,2011,5,no,Monday,yes,Clear,23.677500000000002,27.5256,0.787917,0.126871,773,3185,3958
137,2011-05-17,summer,2011,5,no,Tuesday,yes,Mist,23.028347,26.926450000000003,0.837917,0.277354,678,3445,4123
138,2011-05-18,summer,2011,5,no,Wednesday,yes,Mist,22.55,26.3579,0.87,0.201492,536,3319,3855
139,2011-05-19,summer,2011,5,no,Thursday,yes,Mist,21.764153,25.537100000000002,0.829583,0.108213,735,3840,4575
140,2011-05-20,summer,2011,5,no,Friday,yes,Clear,22.003347,26.4521,0.719583,0.125013,909,4008,4917
141,2011-05-21,summer,2011,5,no,Saturday,no,Clear,24.7025,28.59875,0.626667,0.12065,2258,3547,5805
142,2011-05-22,summer,2011,5,no,Sunday,no,Clear,24.770847,28.725,0.749583,0.148008,1576,3084,4660
143,2011-05-23,summer,2011,5,no,Monday,yes,Mist,25.898346999999998,29.5148,0.81,0.233842,836,3438,4274
144,2011-05-24,summer,2011,5,no,Tuesday,yes,Mist,27.060000000000002,30.240650000000002,0.740833,0.207092,659,3833,4492
145,2011-05-25,summer,2011,5,no,Wednesday,yes,Clear,27.094153,30.7771,0.69625,0.154233,740,4238,4978
146,2011-05-26,summer,2011,5,no,Thursday,yes,Clear,29.041653,32.7344,0.6775,0.199642,758,3919,4677
147,2011-05-27,summer,2011,5,no,Friday,yes,Clear,27.948347000000002,31.8504,0.65375,0.240679,871,3808,4679
148,2011-05-28,summer,2011,5,no,Saturday,no,Clear,26.889153,30.61895,0.729583,0.230092,2001,2757,4758
149,2011-05-29,summer,2011,5,no,Sunday,no,Clear,27.3675,30.777500000000003,0.81875,0.213938,2355,2433,4788
150,2011-05-30,summer,2011,5,yes,Monday,no,Clear,30.066653000000002,33.5546,0.685,0.131225,1549,2549,4098
151,2011-05-31,summer,2011,5,no,Tuesday,yes,Clear,31.775000000000002,36.26915,0.636667,0.111329,673,3309,3982
152,2011-06-01,summer,2011,6,no,Wednesday,yes,Mist,31.330847000000002,36.04835,0.677083,0.207092,513,3461,3974
153,2011-06-02,summer,2011,6,no,Thursday,yes,Clear,29.314999999999998,32.1971,0.305,0.292287,736,4232,4968
154,2011-06-03,summer,2011,6,no,Friday,yes,Clear,25.419999999999998,29.356650000000002,0.354167,0.253121,898,4414,5312
155,2011-06-04,summer,2011,6,no,Saturday,no,Clear,26.035,29.7348,0.45625,0.123142,1869,3473,5342
156,2011-06-05,summer,2011,6,no,Sunday,no,Mist,26.581653000000003,30.8402,0.6525,0.138692,1685,3221,4906
157,2011-06-06,summer,2011,6,no,Monday,yes,Clear,27.811653,31.0929,0.6,0.121896,673,3875,4548
158,2011-06-07,summer,2011,6,no,Tuesday,yes,Clear,29.0075,32.7975,0.597917,0.187808,763,4070,4833
159,2011-06-08,summer,2011,6,no,Wednesday,yes,Clear,31.809153,36.36395,0.622083,0.136817,676,3725,4401
160,2011-06-09,summer,2011,6,no,Thursday,yes,Mist,33.141653,37.87895,0.568333,0.149883,563,3352,3915
161,2011-06-10,summer,2011,6,no,Friday,yes,Clear,30.955000000000002,35.1646,0.605,0.140554,815,3771,4586
162,2011-06-11,summer,2011,6,no,Saturday,no,Clear,29.724999999999998,33.901900000000005,0.654583,0.15485,1729,3237,4966
163,2011-06-12,summer,2011,6,no,Sunday,no,Clear,28.392500000000002,32.166250000000005,0.747917,0.163567,1467,2993,4460
164,2011-06-13,summer,2011,6,no,Monday,yes,Clear,26.035,30.082700000000003,0.494583,0.30535,863,4157,5020
165,2011-06-14,summer,2011,6,no,Tuesday,yes,Clear,24.770847,29.5773,0.507083,0.269283,727,4164,4891
166,2011-06-15,summer,2011,6,no,Wednesday,yes,Clear,25.693347,29.3877,0.471667,0.167912,769,4411,5180
167,2011-06-16,summer,2011,6,no,Thursday,yes,Mist,25.761653000000003,29.767300000000002,0.688333,0.206471,545,3222,3767
168,2011-06-17,summer,2011,6,no,Friday,yes,Clear,26.615847000000002,30.01915,0.735833,0.143029,863,3981,4844
169,2011-06-18,summer,2011,6,no,Saturday,no,Clear,28.563347,32.197700000000005,0.670417,0.119408,1807,3312,5119
170,2011-06-19,summer,2011,6,no,Sunday,no,Mist,28.665847,32.292300000000004,0.666667,0.102,1639,3105,4744
171,2011-06-20,summer,2011,6,no,Monday,yes,Mist,26.035,29.767300000000002,0.74625,0.155475,699,3311,4010
172,2011-06-21,fall,2011,6,no,Tuesday,yes,Mist,27.914153000000002,31.8823,0.770417,0.171025,774,4061,4835
173,2011-06-22,fall,2011,6,no,Wednesday,yes,Clear,30.066653000000002,34.69145,0.7075,0.172262,661,3846,4507
174,2011-06-23,fall,2011,6,no,Thursday,yes,Mist,29.861653,34.69165,0.703333,0.238804,746,4044,4790
175,2011-06-24,fall,2011,6,no,Friday,yes,Clear,29.690847,32.82915,0.573333,0.222025,969,4022,4991
176,2011-06-25,fall,2011,6,no,Saturday,no,Clear,28.494999999999997,32.16565,0.483333,0.209571,1782,3420,5202
177,2011-06-26,fall,2011,6,no,Sunday,no,Clear,27.880000000000003,31.88145,0.513333,0.0945333,1920,3385,5305
178,2011-06-27,fall,2011,6,no,Monday,yes,Mist,27.982499999999998,31.8502,0.658333,0.107588,854,3854,4708
179,2011-06-28,fall,2011,6,no,Tuesday,yes,Clear,30.510847000000002,34.6279,0.634167,0.144283,732,3916,4648
180,2011-06-29,fall,2011,6,no,Wednesday,yes,Clear,29.861653,32.7344,0.497917,0.261821,848,4377,5225
181,2011-06-30,fall,2011,6,no,Thursday,yes,Clear,28.563347,31.8504,0.434167,0.185312,1027,4488,5515
182,2011-07-01,fall,2011,7,no,Friday,yes,Clear,29.622500000000002,32.6081,0.39625,0.102608,1246,4116,5362
183,2011-07-02,fall,2011,7,no,Saturday,no,Clear,30.271653,33.3654,0.444583,0.115062,2204,2915,5119
